v,AHE M-o-M,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,
6/30/2014 0:00,0.25%,0.00%,0.15%,
5/31/2014 0:00,0.25%,-0.56%,0.10%,
4/30/2014 0:00,0.08%,-0.17%,-0.11%,
3/31/2014 0:00,-0.04%,0.11%,-0.28%,
2/28/2014 0:00,0.41%,0.17%,0.22%,
1/31/2014 0:00,0.21%,0.17%,0.04%,
12/31/2013 0:00,0.08%,0.11%,-0.11%,
11/30/2013 0:00,0.29%,0.05%,0.14%,
10/31/2013 0:00,0.12%,0.00%,-0.01%,
9/30/2013 0:00,0.17%,-0.35%,-0.01%,
8/31/2013 0:00,0.17%,0.11%,0.01%,
7/31/2013 0:00,0.08%,-0.06%,-0.14%,
6/30/2013 0:00,0.29%,0.51%,0.14%,
5/31/2013 0:00,0.08%,-0.23%,-0.08%,
4/30/2013 0:00,0.29%,-0.41%,0.20%,
3/31/2013 0:00,0.08%,-0.53%,-0.13%,
2/28/2013 0:00,0.13%,0.05%,-0.14%,
1/31/2013 0:00,0.08%,0.75%,-0.14%,
12/31/2012 0:00,0.42%,0.28%,0.22%,
11/30/2012 0:00,0.30%,0.28%,0.21%,
10/31/2012 0:00,-0.04%,-0.29%,-0.20%,
9/30/2012 0:00,0.34%,0.05%,0.21%,
8/31/2012 0:00,-0.04%,-0.17%,-0.20%,
7/31/2012 0:00,0.17%,-0.18%,0.03%,
6/30/2012 0:00,0.26%,-0.24%,0.08%,
5/31/2012 0:00,0.04%,0.17%,-0.16%,
4/30/2012 0:00,0.13%,0.52%,-0.07%,
3/31/2012 0:00,0.34%,0.23%,0.21%,
2/29/2012 0:00,0.13%,-0.18%,0.06%,
1/31/2012 0:00,0.13%,-0.30%,-0.01%,
12/31/2011 0:00,0.13%,-0.06%,-0.04%,
11/30/2011 0:00,-0.04%,0.17%,-0.19%,
10/31/2011 0:00,0.35%,-0.54%,0.19%,
9/30/2011 0:00,0.22%,-0.18%,0.09%,
8/31/2011 0:00,-0.13%,-0.12%,-0.41%,
7/31/2011 0:00,0.39%,0.83%,0.19%,
6/30/2011 0:00,0.13%,0.17%,-0.03%,
5/31/2011 0:00,0.31%,-0.18%,0.23%,
4/30/2011 0:00,0.17%,-0.42%,0.01%,
3/31/2011 0:00,0.00%,0.11%,-0.21%,
2/28/2011 0:00,0.04%,0.18%,-0.13%,
1/31/2011 0:00,0.44%,-0.19%,0.31%,
12/31/2010 0:00,0.13%,-0.30%,-0.03%,
11/30/2010 0:00,-0.04%,0.11%,-0.26%,
10/31/2010 0:00,0.31%,0.30%,0.10%,
9/30/2010 0:00,0.22%,0.42%,0.09%,
8/31/2010 0:00,0.13%,0.06%,-0.02%,
7/31/2010 0:00,0.27%,0.12%,0.16%,
6/30/2010 0:00,0.00%,-0.18%,-0.12%,
5/31/2010 0:00,0.18%,-0.12%,0.06%,
4/30/2010 0:00,0.13%,-0.19%,-0.02%,
3/31/2010 0:00,0.04%,0.00%,-0.10%,
2/28/2010 0:00,0.18%,-0.13%,0.01%,
1/31/2010 0:00,0.22%,-0.06%,0.07%,
12/31/2009 0:00,0.04%,-0.13%,-0.13%,
11/30/2009 0:00,0.22%,0.00%,0.04%,
10/31/2009 0:00,0.18%,0.18%,0.00%,
9/30/2009 0:00,0.13%,0.24%,-0.05%,
8/31/2009 0:00,0.23%,0.00%,0.09%,
7/31/2009 0:00,0.18%,-0.25%,0.06%,
6/30/2009 0:00,0.14%,-0.25%,-0.05%,
5/31/2009 0:00,0.09%,0.00%,-0.11%,
4/30/2009 0:00,0.14%,-0.44%,-0.05%,
3/31/2009 0:00,0.32%,-0.63%,0.14%,
2/28/2009 0:00,0.14%,-0.32%,-0.17%,
1/31/2009 0:00,0.09%,0.24%,-0.25%,
12/31/2008 0:00,0.32%,0.05%,0.06%,
11/30/2008 0:00,0.51%,-0.39%,0.26%,
10/31/2008 0:00,0.18%,-0.40%,-0.14%,
9/30/2008 0:00,0.09%,0.37%,-0.26%,
8/31/2008 0:00,0.46%,0.12%,0.12%,
7/31/2008 0:00,0.42%,0.25%,0.18%,
6/30/2008 0:00,0.19%,-0.27%,-0.14%,
5/31/2008 0:00,0.42%,0.45%,0.14%,
4/30/2008 0:00,0.09%,0.25%,-0.20%,
3/31/2008 0:00,0.47%,0.38%,0.25%,
2/29/2008 0:00,0.28%,0.13%,0.06%,
1/31/2008 0:00,0.14%,0.19%,-0.06%,
12/31/2007 0:00,0.24%,0.26%,0.05%,
11/30/2007 0:00,0.28%,-0.26%,0.11%,
10/31/2007 0:00,0.10%,-0.40%,-0.05%,
9/30/2007 0:00,0.19%,-0.86%,-0.07%,
8/31/2007 0:00,0.24%,-0.01%,-0.03%,
7/31/2007 0:00,0.00%,-0.14%,-0.35%,
6/30/2007 0:00,0.53%,0.39%,0.27%,
5/31/2007 0:00,0.29%,-0.21%,-0.02%,
4/30/2007 0:00,0.24%,0.19%,-0.02%,
3/31/2007 0:00,0.24%,-0.01%,-0.07%,
2/28/2007 0:00,0.44%,0.13%,0.18%,
1/31/2007 0:00,0.10%,0.13%,-0.16%,
12/31/2006 0:00,0.39%,-0.14%,0.11%,
11/30/2006 0:00,0.29%,-0.15%,0.06%,
10/31/2006 0:00,0.10%,-0.01%,-0.20%,
9/30/2006 0:00,0.44%,-0.08%,0.13%,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
