Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.
10/31/2019,0.0039,0.0022,-0.0021,-0.0003
9/30/2019,0.0025,0.0024,0.0039,-0.0018
8/31/2019,0.0014,0.0026,0.0053,0.0008
7/31/2019,0.0039,0.0026,0.0044,0.0011
6/30/2019,0.0029,0.0027,-0.0040,0.0009
5/31/2019,0.0029,0.0032,-0.0050,0.0016
4/30/2019,0.0036,0.0031,-0.0031,-0.0039
3/31/2019,-0.0011,0.0018,-0.0006,0.0001
2/28/2019,0.0032,0.0019,0.0009,0.0012
1/31/2019,0.0040,0.0020,-0.0021,-0.0018
12/31/2018,0.0011,0.0028,-0.0027,0.0014
11/30/2018,0.0044,0.0032,0.0009,-0.0004
10/31/2018,0.0029,0.0028,0.0050,-0.0021
9/30/2018,0.0015,0.0029,0.0060,0.0017
8/31/2018,0.0044,0.0029,-0.0006,0.0020
7/31/2018,0.0041,0.0033,-0.0011,0.0001
6/30/2018,0.0022,0.0036,-0.0042,-0.0010
5/31/2018,0.0019,0.0027,-0.0001,-0.0001
4/30/2018,0.0022,0.0021,-0.0027,-0.0009
3/31/2018,0.0022,0.0021,0.0066,0.0012
2/28/2018,0.0041,0.0028,0.0046,-0.0023
1/31/2018,0.0007,0.0023,0.0056,0.0030
12/31/2017,0.0045,0.0031,-0.0057,0.0016
11/30/2017,0.0034,0.0029,-0.0016,-0.0005
10/31/2017,0.0011,0.0030,-0.0032,-0.0029
9/30/2017,0.0000,0.0015,0.0041,0.0020
8/31/2017,0.0042,0.0018,0.0010,-0.0017
7/31/2017,0.0008,0.0017,0.0010,0.0019
6/30/2017,0.0038,0.0029,-0.0022,0.0000
5/31/2017,0.0019,0.0022,-0.0006,-0.0006
4/30/2017,0.0015,0.0024,0.0031,-0.0001
3/31/2017,0.0023,0.0019,0.0020,-0.0001
2/28/2017,0.0019,0.0019,-0.0011,0.0009
1/31/2017,0.0023,0.0022,-0.0048,0.0011
12/31/2016,0.0031,0.0024,0.0000,-0.0016
11/30/2016,0.0008,0.0021,0.0021,-0.0022
10/31/2016,0.0004,0.0014,0.0021,0.0027
9/30/2016,0.0047,0.0020,-0.0011,0.0001
8/31/2016,0.0019,0.0023,-0.0033,-0.0009
7/31/2016,0.0012,0.0026,0.0005,0.0005
6/30/2016,0.0027,0.0019,-0.0022,-0.0011
5/31/2016,0.0016,0.0018,0.0037,0.0000
4/30/2016,0.0020,0.0021,-0.0022,0.0004
3/31/2016,0.0031,0.0022,0.0042,0.0010
2/29/2016,0.0028,0.0026,-0.0017,-0.0025
1/31/2016,0.0000,0.0020,0.0000,0.0038
12/31/2015,0.0055,0.0028,-0.0006,-0.0025
11/30/2015,-0.0004,0.0017,0.0022,-0.0001
10/31/2015,0.0024,0.0025,0.0043,0.0013
9/30/2015,0.0032,0.0017,0.0016,-0.0008
8/31/2015,0.0008,0.0021,-0.0033,0.0021
7/31/2015,0.0036,0.0025,-0.0017,-0.0003
6/30/2015,0.0012,0.0019,-0.0072,-0.0024
5/31/2015,0.0000,0.0016,0.0027,0.0013
4/30/2015,0.0032,0.0015,-0.0017,-0.0020
3/31/2015,0.0012,0.0015,0.0094,0.0011
2/28/2015,0.0028,0.0024,0.0005,-0.0007
1/31/2015,0.0016,0.0019,0.0039,0.0043
12/31/2014,0.0053,0.0032,-0.0011,-0.0033
11/30/2014,-0.0016,0.0018,-0.0011,0.0019
10/31/2014,0.0033,0.0023,-0.0022,0.0000
9/30/2014,0.0012,0.0010,-0.0028,-0.0015
8/31/2014,0.0004,0.0016,0.0039,0.0005
7/31/2014,0.0025,0.0014,0.0017,-0.0011
6/30/2014,0.0008,0.0012,0.0000,0.0015
5/31/2014,0.0025,0.0019,-0.0056,0.0010
4/30/2014,0.0025,0.0019,-0.0017,-0.0011
3/31/2014,0.0008,0.0019,0.0011,-0.0028
2/28/2014,-0.0004,0.0010,0.0017,0.0022
1/31/2014,0.0041,0.0015,0.0017,0.0004
12/31/2013,0.0021,0.0019,0.0011,-0.0011
11/30/2013,0.0008,0.0023,0.0005,0.0014
10/31/2013,0.0029,0.0019,0.0000,-0.0001
9/30/2013,0.0012,0.0016,-0.0035,-0.0001
8/31/2013,0.0017,0.0019,0.0011,0.0001
7/31/2013,0.0017,0.0015,-0.0006,-0.0014
6/30/2013,0.0008,0.0014,0.0051,0.0014
5/31/2013,0.0029,0.0018,-0.0023,-0.0008
4/30/2013,0.0008,0.0015,-0.0041,0.0020
3/31/2013,0.0029,0.0022,-0.0053,-0.0013
2/28/2013,0.0008,0.0015,0.0005,-0.0014
1/31/2013,0.0013,0.0017,0.0075,-0.0014
12/31/2012,0.0008,0.0010,0.0028,0.0022
11/30/2012,0.0042,0.0021,0.0028,0.0021
10/31/2012,0.0030,0.0027,-0.0029,-0.0020
9/30/2012,-0.0004,0.0023,0.0005,0.0021
8/31/2012,0.0034,0.0020,-0.0017,-0.0020
7/31/2012,-0.0004,0.0009,-0.0018,0.0003
6/30/2012,0.0017,0.0016,-0.0024,0.0008
5/31/2012,0.0026,0.0013,0.0017,-0.0016
4/30/2012,0.0004,0.0016,0.0052,-0.0007
3/31/2012,0.0013,0.0014,0.0023,0.0021
2/29/2012,0.0034,0.0017,-0.0018,0.0006
1/31/2012,0.0013,0.0020,-0.0030,-0.0001
12/31/2011,0.0013,0.0020,-0.0006,-0.0004
11/30/2011,0.0013,0.0013,0.0017,-0.0019
10/31/2011,-0.0004,0.0007,-0.0054,0.0019
9/30/2011,0.0035,0.0015,-0.0018,0.0009
8/31/2011,0.0022,0.0018,-0.0012,-0.0041
7/31/2011,-0.0013,0.0015,0.0083,0.0019
6/30/2011,0.0039,0.0016,0.0017,-0.0003
5/31/2011,0.0013,0.0013,-0.0018,0.0023
4/30/2011,0.0031,0.0028,-0.0042,0.0001
3/31/2011,0.0017,0.0020,0.0011,-0.0021
2/28/2011,0.0000,0.0016,0.0018,-0.0013
1/31/2011,0.0004,0.0007,-0.0019,0.0031
12/31/2010,0.0044,0.0016,-0.0030,-0.0003
