Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,,
10/31/2019, 3.90 , 2.23 , (2.10), (0.30),,
9/30/2019, 2.50 , 2.37 , 3.90 , (1.80),,
8/31/2019, 1.40 , 2.60 , 5.30 , 0.80 ,,
7/31/2019, 3.90 , 2.60 , 4.40 , 1.10 ,,
6/30/2019, 2.90 , 2.73 , (4.00), 0.90 ,,
5/31/2019, 2.90 , 3.23 , (5.00), 1.60 ,,
4/30/2019, 3.60 , 3.13 , (3.10), (3.90),,
3/31/2019, (1.10), 1.80 , (0.60), 0.10 ,,
2/28/2019, 3.20 , 1.90 , 0.90 , 1.20 ,,
1/31/2019, 4.00 , 2.03 , (2.10), (1.80),,
12/31/2018, 1.10 , 2.77 , (2.70), 1.40 ,,
11/30/2018, 4.40 , 3.17 , 0.90 , (0.40),,
10/31/2018, 2.90 , 2.80 , 5.00 , (2.10),,
9/30/2018, 1.50 , 2.93 , 6.00 , 1.70 ,,
8/31/2018, 4.40 , 2.93 , (0.60), 2.00 ,,
7/31/2018, 4.10 , 3.33 , (1.10), 0.10 ,,
6/30/2018, 2.20 , 3.57 , (4.20), (1.00),,
5/31/2018, 1.90 , 2.73 , (0.10), (0.10),,
4/30/2018, 2.20 , 2.10 , (2.70), (0.90),,
3/31/2018, 2.20 , 2.10 , 6.60 , 1.20 ,,
2/28/2018, 4.10 , 2.83 , 4.60 , (2.30),,
1/31/2018, 0.70 , 2.33 , 5.60 , 3.00 ,,
12/31/2017, 4.50 , 3.10 , (5.70), 1.60 ,,
11/30/2017, 3.40 , 2.87 , (1.60), (0.50),,
10/31/2017, 1.10 , 3.00 , (3.20), (2.90),,
9/30/2017, -   , 1.50 , 4.10 , 2.00 ,,
8/31/2017, 4.20 , 1.77 , 1.00 , (1.70),,
7/31/2017, 0.80 , 1.67 , 1.00 , 1.90 ,,
6/30/2017, 3.80 , 2.93 , (2.20), -   ,,
5/31/2017, 1.90 , 2.17 , (0.60), (0.60),,
4/30/2017, 1.50 , 2.40 , 3.10 , (0.10),,
3/31/2017, 2.30 , 1.90 , 2.00 , (0.10),,
2/28/2017, 1.90 , 1.90 , (1.10), 0.90 ,,
1/31/2017, 2.30 , 2.17 , (4.80), 1.10 ,,
12/31/2016, 3.10 , 2.43 , -   , (1.60),,
11/30/2016, 0.80 , 2.07 , 2.10 , (2.20),,
10/31/2016, 0.40 , 1.43 , 2.10 , 2.70 ,,
9/30/2016, 4.70 , 1.97 , (1.10), 0.10 ,,
8/31/2016, 1.90 , 2.33 , (3.30), (0.90),,
7/31/2016, 1.20 , 2.60 , 0.50 , 0.50 ,,
6/30/2016, 2.70 , 1.93 , (2.20), (1.10),,
5/31/2016, 1.60 , 1.83 , 3.70 , -   ,,
4/30/2016, 2.00 , 2.10 , (2.20), 0.40 ,,
3/31/2016, 3.10 , 2.23 , 4.20 , 1.00 ,,
2/29/2016, 2.80 , 2.63 , (1.70), (2.50),,
1/31/2016, -   , 1.97 , -   , 3.80 ,,
12/31/2015, 5.50 , 2.77 , (0.60), (2.50),,
11/30/2015, (0.40), 1.70 , 2.20 , (0.10),,
10/31/2015, 2.40 , 2.50 , 4.30 , 1.30 ,,
9/30/2015, 3.20 , 1.73 , 1.60 , (0.80),,
8/31/2015, 0.80 , 2.13 , (3.30), 2.10 ,,
7/31/2015, 3.60 , 2.53 , (1.70), (0.30),,
6/30/2015, 1.20 , 1.87 , (7.20), (2.40),,
5/31/2015, -   , 1.60 , 2.70 , 1.30 ,,
4/30/2015, 3.20 , 1.47 , (1.70), (2.00),,
3/31/2015, 1.20 , 1.47 , 9.40 , 1.10 ,,
2/28/2015, 2.80 , 2.40 , 0.50 , (0.70),,
1/31/2015, 1.60 , 1.87 , 3.90 , 4.30 ,,
12/31/2014, 5.30 , 3.23 , (1.10), (3.30),,
11/30/2014, (1.60), 1.77 , (1.10), 1.90 ,,
10/31/2014, 3.30 , 2.33 , (2.20), -   ,,
9/30/2014, 1.20 , 0.97 , (2.80), (1.50),,
8/31/2014, 0.40 , 1.63 , 3.90 , 0.50 ,,
7/31/2014, 2.50 , 1.37 , 1.70 , (1.10),,
6/30/2014, 0.80 , 1.23 , -   , 1.50 ,,
5/31/2014, 2.50 , 1.93 , (5.60), 1.00 ,,
4/30/2014, 2.50 , 1.93 , (1.70), (1.10),,
3/31/2014, 0.80 , 1.93 , 1.10 , (2.80),,
2/28/2014, (0.40), 0.97 , 1.70 , 2.20 ,,
1/31/2014, 4.10 , 1.50 , 1.70 , 0.40 ,,
12/31/2013, 2.10 , 1.93 , 1.10 , (1.10),,
11/30/2013, 0.80 , 2.33 , 0.50 , 1.40 ,,
10/31/2013, 2.90 , 1.93 , -   , (0.10),,
9/30/2013, 1.20 , 1.63 , (3.50), (0.10),,
8/31/2013, 1.70 , 1.93 , 1.10 , 0.10 ,,
7/31/2013, 1.70 , 1.53 , (0.60), (1.40),,
6/30/2013, 0.80 , 1.40 , 5.10 , 1.40 ,,
5/31/2013, 2.90 , 1.80 , (2.30), (0.80),,
4/30/2013, 0.80 , 1.50 , (4.10), 2.00 ,,
