Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,,
3/31/2013, 2.90 , 2.20 , (5.30), (1.30),,
2/28/2013, 0.80 , 1.50 , 0.50 , (1.40),,
1/31/2013, 1.30 , 1.67 , 7.50 , (1.40),,
12/31/2012, 0.80 , 0.97 , 2.80 , 2.20 ,,
11/30/2012, 4.20 , 2.10 , 2.80 , 2.10 ,,
10/31/2012, 3.00 , 2.67 , (2.90), (2.00),,
9/30/2012, (0.40), 2.27 , 0.50 , 2.10 ,,
8/31/2012, 3.40 , 2.00 , (1.70), (2.00),,
7/31/2012, (0.40), 0.87 , (1.80), 0.30 ,,
6/30/2012, 1.70 , 1.57 , (2.40), 0.80 ,,
5/31/2012, 2.60 , 1.30 , 1.70 , (1.60),,
4/30/2012, 0.40 , 1.57 , 5.20 , (0.70),,
3/31/2012, 1.30 , 1.43 , 2.30 , 2.10 ,,
2/29/2012, 3.40 , 1.70 , (1.80), 0.60 ,,
1/31/2012, 1.30 , 2.00 , (3.00), (0.10),,
12/31/2011, 1.30 , 2.00 , (0.60), (0.40),,
11/30/2011, 1.30 , 1.30 , 1.70 , (1.90),,
10/31/2011, (0.40), 0.73 , (5.40), 1.90 ,,
9/30/2011, 3.50 , 1.47 , (1.80), 0.90 ,,
8/31/2011, 2.20 , 1.77 , (1.20), (4.10),,
7/31/2011, (1.30), 1.47 , 8.30 , 1.90 ,,
6/30/2011, 3.90 , 1.60 , 1.70 , (0.30),,
5/31/2011, 1.30 , 1.30 , (1.80), 2.30 ,,
4/30/2011, 3.10 , 2.77 , (4.20), 0.10 ,,
3/31/2011, 1.70 , 2.03 , 1.10 , (2.10),,
2/28/2011, -   , 1.60 , 1.80 , (1.30),,
1/31/2011, 0.40 , 0.70 , (1.90), 3.10 ,,
12/31/2010, 4.40 , 1.60 , (3.00), (0.30),,
11/30/2010, 1.30 , 2.03 , 1.10 , (2.60),,
10/31/2010, (0.40), 1.77 , 3.00 , 1.00 ,,
9/30/2010, 3.10 , 1.33 , 4.20 , 0.90 ,,
8/31/2010, 2.20 , 1.63 , 0.60 , (0.20),,
7/31/2010, 1.30 , 2.20 , 1.20 , 1.60 ,,
6/30/2010, 2.70 , 2.07 , (1.80), (1.20),,
5/31/2010, -   , 1.33 , (1.20), 0.60 ,,
4/30/2010, 1.80 , 1.50 , (1.90), (0.20),,
3/31/2010, 1.30 , 1.03 , -   , (1.00),,
2/28/2010, 0.40 , 1.17 , (1.30), 0.10 ,,
1/31/2010, 1.80 , 1.17 , (0.60), 0.70 ,,
12/31/2009, 2.20 , 1.47 , (1.30), (1.30),,
11/30/2009, 0.40 , 1.47 , -   , 0.40 ,,
10/31/2009, 2.20 , 1.60 , 1.80 , -   ,,
9/30/2009, 1.80 , 1.47 , 2.40 , (0.50),,
8/31/2009, 1.30 , 1.77 , -   , 0.90 ,,
7/31/2009, 2.30 , 1.80 , (2.50), 0.60 ,,
6/30/2009, 1.80 , 1.80 , (2.50), (0.50),,
5/31/2009, 1.40 , 1.83 , -   , (1.10),,
4/30/2009, 0.90 , 1.37 , (4.40), (0.50),,
3/31/2009, 1.40 , 1.23 , (6.30), 1.40 ,,
2/28/2009, 3.20 , 1.83 , (3.20), (1.70),,
1/31/2009, 1.40 , 2.00 , 2.40 , (2.50),,
12/31/2008, 0.90 , 1.83 , 0.50 , 0.60 ,,
11/30/2008, 3.20 , 1.83 , (3.90), 2.60 ,,
10/31/2008, 5.10 , 3.07 , (4.00), (1.40),,
9/30/2008, 1.80 , 3.37 , 3.70 , (2.60),,
8/31/2008, 0.90 , 2.60 , 1.20 , 1.20 ,,
7/31/2008, 4.60 , 2.43 , 2.50 , 1.80 ,,
6/30/2008, 4.20 , 3.23 , (2.70), (1.40),,
5/31/2008, 1.90 , 3.57 , 4.50 , 1.40 ,,
4/30/2008, 4.20 , 3.43 , 2.50 , (2.00),,
3/31/2008, 0.90 , 2.33 , 3.80 , 2.50 ,,
2/29/2008, 4.70 , 3.27 , 1.30 , 0.60 ,,
1/31/2008, 2.80 , 2.80 , 1.90 , (0.60),,
12/31/2007, 1.40 , 2.97 , 2.60 , 0.50 ,,
11/30/2007, 2.40 , 2.20 , (2.60), 1.10 ,,
10/31/2007, 2.80 , 2.20 , (4.00), (0.50),,
9/30/2007, 1.00 , 2.07 , (8.60), (0.70),,
8/31/2007, 1.90 , 1.90 , (0.10), (0.30),,
7/31/2007, 2.40 , 1.77 , (1.40), (3.50),,
6/30/2007, -   , 1.43 , 3.90 , 2.70 ,,
5/31/2007, 5.30 , 2.57 , (2.10), (0.20),,
4/30/2007, 2.90 , 2.73 , 1.90 , (0.20),,
3/31/2007, 2.40 , 3.53 , (0.10), (0.70),,
2/28/2007, 2.40 , 2.57 , 1.30 , 1.80 ,,
1/31/2007, 4.40 , 3.07 , 1.30 , (1.60),,
12/31/2006, 1.00 , 2.60 , (1.40), 1.10 ,,
11/30/2006, 3.90 , 3.10 , (1.50), 0.60 ,,
10/31/2006, 2.90 , 2.60 , (0.10), (2.00),,
9/30/2006, 1.00 , 2.60 , (0.80), 1.30 ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
