Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,,
2019-10-31,3.9,2.2,-2.1,-0.3,,
2019-09-30,2.5,2.4,3.9,-1.8,,
2019-08-31,1.4,2.6,5.3,0.8,,
2019-07-31,3.9,2.6,4.4,1.1,,
2019-06-30,2.9,2.7,-4.0,0.9,,
2019-05-31,2.9,3.2,-5.0,1.6,,
2019-04-30,3.6,3.1,-3.1,-3.9,,
2019-03-31,-1.1,1.8,-0.6,0.1,,
2019-02-28,3.2,1.9,0.9,1.2,,
2019-01-31,4.0,2.0,-2.1,-1.8,,
2018-12-31,1.1,2.8,-2.7,1.4,,
2018-11-30,4.4,3.2,0.9,-0.4,,
2018-10-31,2.9,2.8,5.0,-2.1,,
2018-09-30,1.5,2.9,6.0,1.7,,
2018-08-31,4.4,2.9,-0.6,2.0,,
2018-07-31,4.1,3.3,-1.1,0.1,,
2018-06-30,2.2,3.6,-4.2,-1.0,,
2018-05-31,1.9,2.7,-0.1,-0.1,,
2018-04-30,2.2,2.1,-2.7,-0.9,,
2018-03-31,2.2,2.1,6.6,1.2,,
2018-02-28,4.1,2.8,4.6,-2.3,,
2018-01-31,0.7,2.3,5.6,3.0,,
2017-12-31,4.5,3.1,-5.7,1.6,,
2017-11-30,3.4,2.9,-1.6,-0.5,,
2017-10-31,1.1,3.0,-3.2,-2.9,,
2017-09-30,0.0,1.5,4.1,2.0,,
2017-08-31,4.2,1.8,1.0,-1.7,,
2017-07-31,0.8,1.7,1.0,1.9,,
2017-06-30,3.8,2.9,-2.2,0.0,,
2017-05-31,1.9,2.2,-0.6,-0.6,,
2017-04-30,1.5,2.4,3.1,-0.1,,
2017-03-31,2.3,1.9,2.0,-0.1,,
2017-02-28,1.9,1.9,-1.1,0.9,,
2017-01-31,2.3,2.2,-4.8,1.1,,
2016-12-31,3.1,2.4,0.0,-1.6,,
2016-11-30,0.8,2.1,2.1,-2.2,,
2016-10-31,0.4,1.4,2.1,2.7,,
2016-09-30,4.7,2.0,-1.1,0.1,,
2016-08-31,1.9,2.3,-3.3,-0.9,,
2016-07-31,1.2,2.6,0.5,0.5,,
2016-06-30,2.7,1.9,-2.2,-1.1,,
2016-05-31,1.6,1.8,3.7,0.0,,
2016-04-30,2.0,2.1,-2.2,0.4,,
2016-03-31,3.1,2.2,4.2,1.0,,
2016-02-29,2.8,2.6,-1.7,-2.5,,
2016-01-31,0.0,2.0,0.0,3.8,,
2015-12-31,5.5,2.8,-0.6,-2.5,,
2015-11-30,-0.4,1.7,2.2,-0.1,,
2015-10-31,2.4,2.5,4.3,1.3,,
2015-09-30,3.2,1.7,1.6,-0.8,,
2015-08-31,0.8,2.1,-3.3,2.1,,
2015-07-31,3.6,2.5,-1.7,-0.3,,
2015-06-30,1.2,1.9,-7.2,-2.4,,
2015-05-31,0.0,1.6,2.7,1.3,,
2015-04-30,3.2,1.5,-1.7,-2.0,,
2015-03-31,1.2,1.5,9.4,1.1,,
2015-02-28,2.8,2.4,0.5,-0.7,,
2015-01-31,1.6,1.9,3.9,4.3,,
2014-12-31,5.3,3.2,-1.1,-3.3,,
2014-11-30,-1.6,1.8,-1.1,1.9,,
2014-10-31,3.3,2.3,-2.2,0.0,,
2014-09-30,1.2,1.0,-2.8,-1.5,,
2014-08-31,0.4,1.6,3.9,0.5,,
2014-07-31,2.5,1.4,1.7,-1.1,,
2014-06-30,0.8,1.2,0.0,1.5,,
2014-05-31,2.5,1.9,-5.6,1.0,,
2014-04-30,2.5,1.9,-1.7,-1.1,,
2014-03-31,0.8,1.9,1.1,-2.8,,
2014-02-28,-0.4,1.0,1.7,2.2,,
2014-01-31,4.1,1.5,1.7,0.4,,
2013-12-31,2.1,1.9,1.1,-1.1,,
2013-11-30,0.8,2.3,0.5,1.4,,
2013-10-31,2.9,1.9,0.0,-0.1,,
2013-09-30,1.2,1.6,-3.5,-0.1,,
2013-08-31,1.7,1.9,1.1,0.1,,
2013-07-31,1.7,1.5,-0.6,-1.4,,
2013-06-30,0.8,1.4,5.1,1.4,,
2013-05-31,2.9,1.8,-2.3,-0.8,,
2013-04-30,0.8,1.5,-4.1,2.0,,
2013-03-31,2.9,2.2,-5.3,-1.3,,
2013-02-28,0.8,1.5,0.5,-1.4,,
2013-01-31,1.3,1.7,7.5,-1.4,,
2012-12-31,0.8,1.0,2.8,2.2,,
2012-11-30,4.2,2.1,2.8,2.1,,
2012-10-31,3.0,2.7,-2.9,-2.0,,
2012-09-30,-0.4,2.3,0.5,2.1,,
2012-08-31,3.4,2.0,-1.7,-2.0,,
2012-07-31,-0.4,0.9,-1.8,0.3,,
2012-06-30,1.7,1.6,-2.4,0.8,,
2012-05-31,2.6,1.3,1.7,-1.6,,
2012-04-30,0.4,1.6,5.2,-0.7,,
2012-03-31,1.3,1.4,2.3,2.1,,
2012-02-29,3.4,1.7,-1.8,0.6,,
2012-01-31,1.3,2.0,-3.0,-0.1,,
2011-12-31,1.3,2.0,-0.6,-0.4,,
2011-11-30,1.3,1.3,1.7,-1.9,,
2011-10-31,-0.4,0.7,-5.4,1.9,,
2011-09-30,3.5,1.5,-1.8,0.9,,
2011-08-31,2.2,1.8,-1.2,-4.1,,
2011-07-31,-1.3,1.5,8.3,1.9,,
2011-06-30,3.9,1.6,1.7,-0.3,,
2011-05-31,1.3,1.3,-1.8,2.3,,
2011-04-30,3.1,2.8,-4.2,0.1,,
2011-03-31,1.7,2.0,1.1,-2.1,,
2011-02-28,0.0,1.6,1.8,-1.3,,
2011-01-31,0.4,0.7,-1.9,3.1,,
2010-12-31,4.4,1.6,-3.0,-0.3,,
2010-11-30,1.3,2.0,1.1,-2.6,,
2010-10-31,-0.4,1.8,3.0,1.0,,
2010-09-30,3.1,1.3,4.2,0.9,,
2010-08-31,2.2,1.6,0.6,-0.2,,
2010-07-31,1.3,2.2,1.2,1.6,,
2010-06-30,2.7,2.1,-1.8,-1.2,,
2010-05-31,0.0,1.3,-1.2,0.6,,
2010-04-30,1.8,1.5,-1.9,-0.2,,
2010-03-31,1.3,1.0,0.0,-1.0,,
2010-02-28,0.4,1.2,-1.3,0.1,,
2010-01-31,1.8,1.2,-0.6,0.7,,
2009-12-31,2.2,1.5,-1.3,-1.3,,
2009-11-30,0.4,1.5,0.0,0.4,,
2009-10-31,2.2,1.6,1.8,0.0,,
2009-09-30,1.8,1.5,2.4,-0.5,,
2009-08-31,1.3,1.8,0.0,0.9,,
2009-07-31,2.3,1.8,-2.5,0.6,,
2009-06-30,1.8,1.8,-2.5,-0.5,,
2009-05-31,1.4,1.8,0.0,-1.1,,
2009-04-30,0.9,1.4,-4.4,-0.5,,
2009-03-31,1.4,1.2,-6.3,1.4,,
2009-02-28,3.2,1.8,-3.2,-1.7,,
2009-01-31,1.4,2.0,2.4,-2.5,,
