Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.,,
2019-10-31,0.39,0.22,-0.21,-0.03,,
2019-09-30,0.25,0.24,0.39,-0.18,,
2019-08-31,0.14,0.26,0.53,0.08,,
2019-07-31,0.39,0.26,0.44,0.11,,
2019-06-30,0.29,0.27,-0.40,0.09,,
2019-05-31,0.29,0.32,-0.50,0.16,,
2019-04-30,0.36,0.31,-0.31,-0.39,,
2019-03-31,-0.11,0.18,-0.06,0.01,,
2019-02-28,0.32,0.19,0.09,0.12,,
2019-01-31,0.40,0.20,-0.21,-0.18,,
2018-12-31,0.11,0.28,-0.27,0.14,,
2018-11-30,0.44,0.32,0.09,-0.04,,
2018-10-31,0.29,0.28,0.50,-0.21,,
2018-09-30,0.15,0.29,0.60,0.17,,
2018-08-31,0.44,0.29,-0.06,0.20,,
2018-07-31,0.41,0.33,-0.11,0.01,,
2018-06-30,0.22,0.36,-0.42,-0.10,,
2018-05-31,0.19,0.27,-0.01,-0.01,,
2018-04-30,0.22,0.21,-0.27,-0.09,,
2018-03-31,0.22,0.21,0.66,0.12,,
2018-02-28,0.41,0.28,0.46,-0.23,,
2018-01-31,0.07,0.23,0.56,0.30,,
2017-12-31,0.45,0.31,-0.57,0.16,,
2017-11-30,0.34,0.29,-0.16,-0.05,,
2017-10-31,0.11,0.30,-0.32,-0.29,,
2017-09-30,0.00,0.15,0.41,0.20,,
2017-08-31,0.42,0.18,0.10,-0.17,,
2017-07-31,0.08,0.17,0.10,0.19,,
2017-06-30,0.38,0.29,-0.22,0.00,,
2017-05-31,0.19,0.22,-0.06,-0.06,,
2017-04-30,0.15,0.24,0.31,-0.01,,
2017-03-31,0.23,0.19,0.20,-0.01,,
2017-02-28,0.19,0.19,-0.11,0.09,,
2017-01-31,0.23,0.22,-0.48,0.11,,
2016-12-31,0.31,0.24,0.00,-0.16,,
2016-11-30,0.08,0.21,0.21,-0.22,,
2016-10-31,0.04,0.14,0.21,0.27,,
2016-09-30,0.47,0.20,-0.11,0.01,,
2016-08-31,0.19,0.23,-0.33,-0.09,,
2016-07-31,0.12,0.26,0.05,0.05,,
2016-06-30,0.27,0.19,-0.22,-0.11,,
2016-05-31,0.16,0.18,0.37,0.00,,
2016-04-30,0.20,0.21,-0.22,0.04,,
2016-03-31,0.31,0.22,0.42,0.10,,
2016-02-29,0.28,0.26,-0.17,-0.25,,
2016-01-31,0.00,0.20,0.00,0.38,,
2015-12-31,0.55,0.28,-0.06,-0.25,,
2015-11-30,-0.04,0.17,0.22,-0.01,,
2015-10-31,0.24,0.25,0.43,0.13,,
2015-09-30,0.32,0.17,0.16,-0.08,,
2015-08-31,0.08,0.21,-0.33,0.21,,
2015-07-31,0.36,0.25,-0.17,-0.03,,
2015-06-30,0.12,0.19,-0.72,-0.24,,
2015-05-31,0.00,0.16,0.27,0.13,,
2015-04-30,0.32,0.15,-0.17,-0.20,,
2015-03-31,0.12,0.15,0.94,0.11,,
2015-02-28,0.28,0.24,0.05,-0.07,,
2015-01-31,0.16,0.19,0.39,0.43,,
2014-12-31,0.53,0.32,-0.11,-0.33,,
2014-11-30,-0.16,0.18,-0.11,0.19,,
2014-10-31,0.33,0.23,-0.22,0.00,,
2014-09-30,0.12,0.10,-0.28,-0.15,,
2014-08-31,0.04,0.16,0.39,0.05,,
2014-07-31,0.25,0.14,0.17,-0.11,,
2014-06-30,0.08,0.12,0.00,0.15,,
2014-05-31,0.25,0.19,-0.56,0.10,,
2014-04-30,0.25,0.19,-0.17,-0.11,,
2014-03-31,0.08,0.19,0.11,-0.28,,
2014-02-28,-0.04,0.10,0.17,0.22,,
2014-01-31,0.41,0.15,0.17,0.04,,
2013-12-31,0.21,0.19,0.11,-0.11,,
2013-11-30,0.08,0.23,0.05,0.14,,
2013-10-31,0.29,0.19,0.00,-0.01,,
2013-09-30,0.12,0.16,-0.35,-0.01,,
2013-08-31,0.17,0.19,0.11,0.01,,
2013-07-31,0.17,0.15,-0.06,-0.14,,
2013-06-30,0.08,0.14,0.51,0.14,,
2013-05-31,0.29,0.18,-0.23,-0.08,,
2013-04-30,0.08,0.15,-0.41,0.20,,
2013-03-31,0.29,0.22,-0.53,-0.13,,
2013-02-28,0.08,0.15,0.05,-0.14,,
2013-01-31,0.13,0.17,0.75,-0.14,,
2012-12-31,0.08,0.10,0.28,0.22,,
