Date,AHE M-o-M - 1 Month Ahead,AHE M-o-M - Avg Next 3 Months,Change in 3M/3M Annualized,Change in Current - Previous 3M Avg.
12/31/2012 0:00, 0.000800 , 0.000967 , 0.002800 , 0.002200 
11/30/2012 0:00, 0.004200 , 0.002100 , 0.002800 , 0.002100 
10/31/2012 0:00, 0.003000 , 0.002667 , (0.002900), (0.002000)
9/30/2012 0:00, (0.000400), 0.002267 , 0.000500 , 0.002100 
8/31/2012 0:00, 0.003400 , 0.002000 , (0.001700), (0.002000)
7/31/2012 0:00, (0.000400), 0.000867 , (0.001800), 0.000300 
6/30/2012 0:00, 0.001700 , 0.001567 , (0.002400), 0.000800 
5/31/2012 0:00, 0.002600 , 0.001300 , 0.001700 , (0.001600)
4/30/2012 0:00, 0.000400 , 0.001567 , 0.005200 , (0.000700)
3/31/2012 0:00, 0.001300 , 0.001433 , 0.002300 , 0.002100 
2/29/2012 0:00, 0.003400 , 0.001700 , (0.001800), 0.000600 
1/31/2012 0:00, 0.001300 , 0.002000 , (0.003000), (0.000100)
12/31/2011 0:00, 0.001300 , 0.002000 , (0.000600), (0.000400)
11/30/2011 0:00, 0.001300 , 0.001300 , 0.001700 , (0.001900)
10/31/2011 0:00, (0.000400), 0.000733 , (0.005400), 0.001900 
9/30/2011 0:00, 0.003500 , 0.001467 , (0.001800), 0.000900 
8/31/2011 0:00, 0.002200 , 0.001767 , (0.001200), (0.004100)
7/31/2011 0:00, (0.001300), 0.001467 , 0.008300 , 0.001900 
6/30/2011 0:00, 0.003900 , 0.001600 , 0.001700 , (0.000300)
5/31/2011 0:00, 0.001300 , 0.001300 , (0.001800), 0.002300 
4/30/2011 0:00, 0.003100 , 0.002767 , (0.004200), 0.000100 
3/31/2011 0:00, 0.001700 , 0.002033 , 0.001100 , (0.002100)
2/28/2011 0:00, -   , 0.001600 , 0.001800 , (0.001300)
1/31/2011 0:00, 0.000400 , 0.000700 , (0.001900), 0.003100 
12/31/2010 0:00, 0.004400 , 0.001600 , (0.003000), (0.000300)
11/30/2010 0:00, 0.001300 , 0.002033 , 0.001100 , (0.002600)
10/31/2010 0:00, (0.000400), 0.001767 , 0.003000 , 0.001000 
9/30/2010 0:00, 0.003100 , 0.001333 , 0.004200 , 0.000900 
8/31/2010 0:00, 0.002200 , 0.001633 , 0.000600 , (0.000200)
7/31/2010 0:00, 0.001300 , 0.002200 , 0.001200 , 0.001600 
6/30/2010 0:00, 0.002700 , 0.002067 , (0.001800), (0.001200)
5/31/2010 0:00, -   , 0.001333 , (0.001200), 0.000600 
4/30/2010 0:00, 0.001800 , 0.001500 , (0.001900), (0.000200)
3/31/2010 0:00, 0.001300 , 0.001033 , -   , (0.001000)
2/28/2010 0:00, 0.000400 , 0.001167 , (0.001300), 0.000100 
1/31/2010 0:00, 0.001800 , 0.001167 , (0.000600), 0.000700 
12/31/2009 0:00, 0.002200 , 0.001467 , (0.001300), (0.001300)
11/30/2009 0:00, 0.000400 , 0.001467 , -   , 0.000400 
10/31/2009 0:00, 0.002200 , 0.001600 , 0.001800 , -   
9/30/2009 0:00, 0.001800 , 0.001467 , 0.002400 , (0.000500)
8/31/2009 0:00, 0.001300 , 0.001767 , -   , 0.000900 
7/31/2009 0:00, 0.002300 , 0.001800 , (0.002500), 0.000600 
6/30/2009 0:00, 0.001800 , 0.001800 , (0.002500), (0.000500)
5/31/2009 0:00, 0.001400 , 0.001833 , -   , (0.001100)
4/30/2009 0:00, 0.000900 , 0.001367 , (0.004400), (0.000500)
3/31/2009 0:00, 0.001400 , 0.001233 , (0.006300), 0.001400 
2/28/2009 0:00, 0.003200 , 0.001833 , (0.003200), (0.001700)
1/31/2009 0:00, 0.001400 , 0.002000 , 0.002400 , (0.002500)
12/31/2008 0:00, 0.000900 , 0.001833 , 0.000500 , 0.000600 
11/30/2008 0:00, 0.003200 , 0.001833 , (0.003900), 0.002600 
10/31/2008 0:00, 0.005100 , 0.003067 , (0.004000), (0.001400)
9/30/2008 0:00, 0.001800 , 0.003367 , 0.003700 , (0.002600)
8/31/2008 0:00, 0.000900 , 0.002600 , 0.001200 , 0.001200 
7/31/2008 0:00, 0.004600 , 0.002433 , 0.002500 , 0.001800 
6/30/2008 0:00, 0.004200 , 0.003233 , (0.002700), (0.001400)
5/31/2008 0:00, 0.001900 , 0.003567 , 0.004500 , 0.001400 
4/30/2008 0:00, 0.004200 , 0.003433 , 0.002500 , (0.002000)
3/31/2008 0:00, 0.000900 , 0.002333 , 0.003800 , 0.002500 
2/29/2008 0:00, 0.004700 , 0.003267 , 0.001300 , 0.000600 
1/31/2008 0:00, 0.002800 , 0.002800 , 0.001900 , (0.000600)
12/31/2007 0:00, 0.001400 , 0.002967 , 0.002600 , 0.000500 
11/30/2007 0:00, 0.002400 , 0.002200 , (0.002600), 0.001100 
10/31/2007 0:00, 0.002800 , 0.002200 , (0.004000), (0.000500)
9/30/2007 0:00, 0.001000 , 0.002067 , (0.008600), (0.000700)
8/31/2007 0:00, 0.001900 , 0.001900 , (0.000100), (0.000300)
7/31/2007 0:00, 0.002400 , 0.001767 , (0.001400), (0.003500)
6/30/2007 0:00, -   , 0.001433 , 0.003900 , 0.002700 
5/31/2007 0:00, 0.005300 , 0.002567 , (0.002100), (0.000200)
4/30/2007 0:00, 0.002900 , 0.002733 , 0.001900 , (0.000200)
3/31/2007 0:00, 0.002400 , 0.003533 , (0.000100), (0.000700)
2/28/2007 0:00, 0.002400 , 0.002567 , 0.001300 , 0.001800 
1/31/2007 0:00, 0.004400 , 0.003067 , 0.001300 , (0.001600)
12/31/2006 0:00, 0.001000 , 0.002600 , (0.001400), 0.001100 
11/30/2006 0:00, 0.003900 , 0.003100 , (0.001500), 0.000600 
10/31/2006 0:00, 0.002900 , 0.002600 , (0.000100), (0.002000)
9/30/2006 0:00, 0.001000 , 0.002600 , (0.000800), 0.001300 
